Name,Address,Postal,Latitude,Longitude,in_peel
Achev - Newcomer Information Centre - Brampton East,"263 Queen St E, Unit 14 Brampton, ON L6W 4K6",L6W 4K6,43.697029,-79.747799,TRUE
Achev - Newcomer Information Centre - Brampton South,"Community Door 7700 Hurontario St, Unit 601, Suite 100 Brampton, ON L6Y 4M3",L6Y 4M3,43.6594353,-79.7240466,TRUE
Afghan Women's Organization,"3050 Unit 302 Confederation Pkwy N, Mezzanine 1 Mississauga, ON L5B 3Z6",L5B 3Z6,43.578404,-79.62251,TRUE
African Community Services of Peel (ACS),"10 Gillingham Dr, Unit 308 Brampton, ON L6X 5A5",L6X 5A5,43.701781,-79.785613,TRUE
African Community Services of Peel (ACS) - Community Wellness and Development Program,"10 Gillingham Dr, Unit 308 Brampton, ON L6X 5A5",L6X 5A5,43.701781,-79.785613,TRUE
African Community Services of Peel (ACS) - Newcomer Settlement,"10 Gillingham Dr, Unit 308 Brampton, ON L6X 5A5",L6X 5A5,43.701781,-79.785613,TRUE
African Community Services of Peel (ACS) - Youth Programs - Youth Leadership Development Programs,"10 Gillingham Dr, Unit 308 Brampton, ON L6X 5A5",L6X 5A5,43.701781,-79.785613,TRUE
Audmax Inc.,"c/o Maxcine Telfer 2426 Padstow Crescent, Suite #1, Box Mississauga, ON L5J 2G4",L5J 2G4,43.515088,-79.650994,TRUE
Brampton Multicultural Community Centre - Brampton North,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.717734,-79.717774,TRUE
Brampton Multicultural Community Centre - Brampton North - 150 Central Park Dr,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.717734,-79.717774,TRUE
Brampton Multicultural Community Centre - Brampton North - 197 County Court Blvd - Brampton South,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.717734,-79.717774,TRUE
Brampton Multicultural Community Centre - Brampton North - Programs and Services - Community Connections-Library,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.717734,-79.717774,TRUE
Brampton Multicultural Community Centre - Brampton North - Programs and Services - Community Connections-Schools,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.717734,-79.717774,TRUE
Brampton Multicultural Community Centre - Brampton North - Programs and Services - Employment Services,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.717734,-79.717774,TRUE
Brampton Multicultural Community Centre - Brampton North - Programs and Services - Mind Your Health,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.717734,-79.717774,TRUE
Brampton Multicultural Community Centre - Brampton North - Settlement - Information and Awareness Services,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.717734,-79.717774,TRUE
Brampton Multicultural Community Centre - Brampton North - Settlement - Newcomer Settlement Program (NSP),"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.717734,-79.717774,TRUE
Brampton Multicultural Community Centre - Brampton North - Youth - New Direction: Gang Prevention and Intervention,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.717734,-79.717774,TRUE
Brampton Multicultural Community Centre - Brampton North - Youth - Pathways to Entrepreneurship,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.717734,-79.717774,TRUE
Brampton Multicultural Community Centre - Brampton North - Youth - Volunteers for Change (V4C),"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.717734,-79.717774,TRUE
Caledon Community Services - LINC - Language Instruction for Newcomers to Canada,"Royal Courtyards, Upper Level 18 King St E Bolton, ON L7E 1E8",L7E 1E8,43.879868,-79.737783,TRUE
Can-In Multicultural Association,"c/o Dr Bhushan Sood 5223 Astwell Ave N Mississauga, ON L5R 3H8",L5R 3H8,43.597307,-79.675417,TRUE
CANES Community Care - Community Outreach - Etobicoke and Brampton,"10 Carlson Court, Suite 200 Etobicoke, ON M9W 6L2",M9W 6L2,43.689842,-79.585862,TRUE
Catholic Crosscultural Services (CCS) - Brampton Office,"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",L6V 1B4,43.692433,-79.75327,TRUE
Catholic Crosscultural Services (CCS) - Brampton Office - Employment Access Program,"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",L6V 1B4,43.692433,-79.75327,TRUE
