Name,Address,Postal,Latitude,Longitude,Website,Email,Phone,Description,Fees,Eligibility,Languages,Areas Served,Last Updated,Citizen test preparation,Help with daily life,Refugee services,Job language training,Job search support,LGBT services,Language assessment,Language training,Other services,Senior services,Women services,Youth services
Achev - Newcomer Information Centre - Brampton East,"263 Queen St E, Unit 14 Brampton, ON L6W 4K6",L6W 4K6,43.7002435356845,-79.7434598731546,http://achev.ca,becnic@achev.ca,905-595-0722,"Newcome walk-in information centre funded by Immigration, Refugees and Citizenship Canada to provide free, up to date settlement information and referral for newcomers Provides information on: employment immigration and citizenship education and training credential evaluation health services housing language training legal and social services recreation finance and income tax Free Commissioner of Oaths services available by appointment",None - All services are free,NA,English * Russian * Spanish * Approximately 20 major languages,Brampton,"November 8, 2022",no,yes,no,no,yes,no,yes,no,no,no,no,no
Achev - Newcomer Information Centre - Brampton South,"Community Door 7700 Hurontario St, Unit 601, Suite 100 Brampton, ON L6Y 4M3",L6Y 4M3,43.6595513791211,-79.7252889019915,http://achev.ca,nicbcs@achev.ca,905-457-4747 ext 3012,"Newcome walk-in information centres * provide up to date settlement information for smooth transition of newcomers to life in Canada * NIC centres provide information on: employment * immigration and citizenship * education and training * credential evaluation * health services * housing * language training * legal and social services * recreation * financial and income tax CLARS Language Assessment Centres, offers: English and French language assessments and referrals to classes for eligible immigrants seeking language training in Peel, Halton, Dufferin, York, Simcoe and Durham",None - All services are free,"Available to permanent residents, convention refugees and prospective immigrants",English * Hindi * Pashto * Punjabi,Halton Region and Peel Region,"November 8, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghan Women's Organization,"3050 Unit 302 Confederation Pkwy N, Mezzanine 1 Mississauga, ON L5B 3Z6",L5B 3Z6,43.577976579124,-79.6214868308296,http://afghanwomen.org/,ageneral@afghanwomen.org,"905-279-3679
Toronto 416-588-3585","Afghan women's group * offers LINC (Language Instructor to Newcomers to Canada) classes for women (Literacy to Level 5) * settlement services (ISAP) * literacy classes for women * Heritage Language Classes (Dari) * Afghan Senior's Group * youth and family workers * child minding services available to program participants * day or evening classes Immigrant Settlement and Adaptation Program -- needs assessment information and referral advocacy orientation sponsorship of refugees translation and interpretation escort assistance in finding housing health workshops heritage language classes skills training and upgrading seniors program for mutual support and education youth program offering services in settlement, counselling, skills development and social events Homework Club with individual assistance and group work citizenship test preparation classes Community Connections Mentorship Program-- group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks Trained and experienced volunteer mentors assist with focus on citizenship and civic engagement or skills and career development",None,"Newcomers with a focus on women, their families, refugees and people who have experienced war or persecution",English * Arabic * Dari * Farsi (Persian) * Hindi * Pashto * Urdu,Peel Region,"May 16, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
African Community Services of Peel (ACS),"10 Gillingham Dr, Unit 308 Brampton, ON L6X 5A5",L6X 5A5,43.7034231352731,-79.7849298019901,http://www.africancommunityservices.com,info@africancommunityservices.com,905-460-9514,Community based organization providing settlement and integration services and programs to facilitate early settlement of newcomers to Peel and the surrounding areas Services: newcomer settlement program youth engagement and leadership development violence and abuse prevention seniors support services mental health awareness and promotion community wellness and development programs employment support services community engagement programs volunteer training and development,None,Open to all newcomers,English * Arabic * Fanti * Ga * Somali * Swahili * Twi,Peel Region,"August 10, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
African Community Services of Peel (ACS) - Community Wellness and Development Program,"10 Gillingham Dr, Unit 308 Brampton, ON L6X 5A5",L6X 5A5,43.7034231352731,-79.7849298019901,http://www.africancommunityservices.com,info@africancommunityservices.com,905-460-9514,The program provides a suite of programs and services aimed at promoting the general wellbeing of members of the black community in Peel. The objectives of the Community Wellness and Development Program are to: Promote the health and wellness of members of the African/Black community through identified programs and services Enhance access to community resources and information Promote mental health awareness in the black community and improve access to mental health resources Reduce the incidence of domestic violence and abuse in the black/African Community Promote engagement and participation in community development activities Enhance labor market participation opportunities for members of the black community Practical support and encouragement,None,Open to all newcomers,English * Arabic * Fanti * Ga * Somali * Swahili * Twi,Peel Region,"August 10, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
African Community Services of Peel (ACS) - Newcomer Settlement,"10 Gillingham Dr, Unit 308 Brampton, ON L6X 5A5",L6X 5A5,43.7034231352731,-79.7849298019901,http://www.africancommunityservices.com,info@africancommunityservices.com,905-460-9514,"The newcomer settlement program helps to facilitate the early integration of newcomers into Canadian society, by enhancing access to and support services that aid in the transition to self-reliance and financial independence. Provide Comprehensive and culturally appropriate settlement services that include client needs assessment, orientation, information and referral, interpretation and translation, housing assistance, and employment support. Identity needs specific to each newcomer in order to determine how best those needs could be met with existing community resources Provide newcomers with relevant, culturally, and linguistically appropriate information and services that facilitate settlement. Provide referrals to community resources. Organize workshops/group sessions on a variety of settlement issues like health, legal, transportation, education and skills building.",None,"Open to all newcomers - families, adults, youth and seniors from diverse ethno-specific communities mainly from newcomers of African descent as well as those from other regions",English * Arabic * Fanti * Somali * Swahili * Twi,Peel Region,"August 9, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
African Community Services of Peel (ACS) - Youth Programs - Youth Leadership Development Programs,"10 Gillingham Dr, Unit 308 Brampton, ON L6X 5A5",L6X 5A5,43.7034231352731,-79.7849298019901,http://www.africancommunityservices.com,info@africancommunityservices.com,905-460-9514,"Provide youth with information and services that promote positive growth, development and decision making * builds leadership skills in youth to enhance their personal and professional development and",None,Open to all visible minority youth between the ages of 13 to 24 years Older youth are accommodated based on program and issue/need Youth facing immigration and settlement challenges Immigrant and Refugee Youth In and out of school youth All youth interested in participating in our programs,English * Arabic * Fanti * Ga * Somali * Swahili * Twi,Peel Region,"August 10, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Audmax Inc.,"c/o Maxcine Telfer 2426 Padstow Crescent, Suite #1, Box Mississauga, ON L5J 2G4",L5J 2G4,43.5142703597097,-79.651413001996,http://www.audmaxinc.com,maxcine@audmaxinc.com,905-615-1188,"Audmax Inc has been providing successful driven workplace Training, Research, Learning and Business Innovation. Target solutions for immigrant women * Settlement services in French and English * 5-day job search workshop Certificate Food Handlers Training approved by Ministry of Health and Long Term Care",None,Program for new immigrant women. Permanent resident of Canada or waiting to become a permanent resident. Person who is not immigrant but has a work/refugee permit.,English * French,Peel Region,"March 29, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brampton Multicultural Community Centre - Brampton North,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.7182912333487,-79.7196720019896,http://www.bmccentre.com,services@bmccentre.org,905-790-8482,"Community agency providing settlement and social services to newcomers to Canada. Current programs and services include: Settlement Services Educational Services Health Services Employment Services Youth Services Seniors Services Services are provided at three (3) locations 150 Central Park Dr, Ste 107, Brampton 197 County Court Boulevard, Unit 303 Brampton ON L6W 4P6 4120 Ridgeway Drive, Unit 43, Mississauga ON L5L 5S9",Program - Access Centre for Training and Technology: nominal fee,Permanent residents of Canada Temporary residents working in Canada with a work permit under the Live-in Caregiver program,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brampton Multicultural Community Centre - Brampton North - 150 Central Park Dr,"Civic Centre 150 Central Park Dr, Suite 107 Brampton, ON L6T 2T9",L6T 2T9,43.7182912333487,-79.7196720019896,http://www.bmccentre.com,services@bmccentre.org,905-790-8482,"Community agency providing settlement and social services to the newcomers to Canada. Current programs and services include: Crisis Counselling Employment Services Community Connections Youth Settlement Seniors Mind Your Health Most programs are provided at all three (3) locations 150 Central Park Dr, Ste 107, Brampton 197 County Court Boulevard, Unit 303 Brampton ON L6W 4P6 4120 Ridgeway Drive, Unit 43, Mississauga ON L5L 5S9",Program - Access Centre for Training and Technology: nominal fee,Permanent resident of Canada Temporary residents working in Canada with a work permit under the Live-in Caregiver program,English * French * Arabic * Bengali * Bosnian * Dari * Farsi(Persian) * Hindi * Gujarati * Punjabi * Somali * Spanish * Swahili * Tamil * Urdu * Interpretive Services,Peel Region,"December 7, 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
