,Name,Coordinates,Address,City,Postal,Province,In Peel,Website,Email,Phone,Citizen test preparation,Help with daily life,Refugee services,Job language training,Job search support,LGBT services,Language assessment,Language training,Other services,Senior services,Women services,Youth services
0,A & O: Support Services for Older Adults,"(49.893189, -97.142188)",200 - 280 Smith Street,Winnipeg,R3C 1K2,Manitoba,no,,amacrae@ageopportunity.mb.ca,204-956-6440,yes,no,no,no,no,no,no,no,yes,yes,no,no
1,Accès emploi Alberta,"(53.522, -113.459)",202-8627 Marie-Anne-Gaboury ST,Edmonton,T6C 3N1,Alberta,no,http://www.accesemploi.net/en/index.html,ae@accesemploi.net,780-490-6975,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes
2,ACCES Employment,"(43.774977, -79.338393)",2001 Sheppard Ave E. Suite 201,Toronto,M2J 4Z8,Ontario,no,http://www.accesemployment.ca/,,416-443-9008,no,yes,no,yes,yes,no,no,no,no,no,no,no
3,Acces Employment,"(43.57053, -79.601748)","2085 Hurontario Street, Suite 210",Mississauga,L5A 4G1,Ontario,yes,http://www.accesemployment.ca/,,905-361-2522,no,yes,no,yes,yes,no,no,no,no,no,no,yes
4,ACCES Employment,"(43.776948, -79.233179)","2100 Ellesmere Road, Suite 250",Toronto,M1H 3B7,Ontario,no,http://www.accesemployment.ca/,,416-431-5326,no,yes,no,yes,yes,no,no,no,no,no,no,no
5,Acces Employment,"(43.715778, -79.726089)","44 Peel Centre Drive, Suite 201",Brampton,L6T 4BS,Ontario,yes,http://www.accesemployment.ca/,,905-454-2316,no,yes,no,no,yes,no,no,no,no,no,no,yes
6,ACCES Employment,"(43.65587, -79.409235)","489 College Street, Suite 100",Toronto,M6G 1A5,Ontario,no,http://www.accesemployment.ca/,,416-921-1800,no,no,no,no,no,no,no,no,no,no,no,yes
7,Access Alliance Multicultural Health & Community Services,"(43.691186, -79.287375)",3079 Danforth Avenue,Toronto,M1L 1A8,Ontario,no,http://accessalliance.ca/,,416-693-8677,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes
8,Access Alliance Multicultural Health & Community Services,"(43.657582, -79.403464)","340 College Street, Suite 500",Toronto,M5T 3A9,Ontario,no,http://accessalliance.ca/,,416-324-8801,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes
9,Access Alliance Multicultural Health & Community Services,"(43.671583, -79.493367)","761 Jane Street, 2nd Floor",Toronto,M6N 4B4,Ontario,no,http://accessalliance.ca/,,416-760-8677,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes
