Name,Healthline Link,Website,Address,Email,Phone,Description,Fees,Eligibility,Languages,Areas Served,Last Updated
Achev - Newcomer Information Centre - Brampton East,https://www.centralwesthealthline.ca/displayService.aspx?id=159962,http://achev.ca,"263 Queen St E, Unit 14 Brampton, ON L6W 4K6",becnic@achev.ca,905-595-0722,"Newcome walk-in information centre funded by Immigration, Refugees and Citizenship Canada to provide free, up to date settlement information and referral for newcomers Provides information on: employment immigration and citizenship education and training credential evaluation health services housing language training legal and social services recreation finance and income tax Free Commissioner of Oaths services available by appointment",None - All services are free,NA,English * Russian * Spanish * Approximately 20 major languages,Brampton,"November 8, 2022"
Agincourt Community Services Association - Dorset Park Community Hub,https://www.centralwesthealthline.ca/displayService.aspx?id=143166,http://www.agincourtcommunityservices.com/,"1911 Kennedy Rd Unit 105 Toronto, ON M1P 2L9",info@agincourtcommunityservices.com,416-292-6912,"Multiservice centre Community Food Centre--shopping model food bank on site Food Bank-- member of Daily Bread Food Bank Dorset Park Hub - Multiservice neighbourhood centre centre community engagement projects seniors yoga women's English Circle financial literacy workshops public computer access Newcomer Centre information and referral to community and social services support with finding housing, child care, registering children in school and health care help filling out government forms including housing and immigration sponsorship forms help with connecting to language classes workshops on financial literacy and other topics to reduce stress of adjusting to Canadian culture Citizenship Preparation-- offers courses, tests and activities to help newcomers prepare for the citizenship test Language Instruction for Newcomers to Canada-- provides basic language skills in English upon assessment by YMCA of Greater Toronto -- see separate entry, online learning option Mentorship and Skills Building offers permanent residents and convention refugees resume and job readiness help, employment counselling skills and career development in specific fields including food service, customer service, cashier training to help newcomers get entry level jobs Lead agency for Dorset Park Hub other services provided by partner agencies including, Reconnect Community Health Service, John Howard Society of Toronto, VHA Home HealthCare, Chinese Canadian Council, Madison Community Services, Black Youth Jobs and Dorset Park Neighbourhood Association",NA,"Newcomer Services -- permanent residents or convention refugees Language Instruction for Newcomers to Canada (LINC)-- permanent residents, convention refugees, government-sponsored refugees or others eligible",English * Arabic * Cantonese * Mandarin * Spanish * Tamil,Toronto (Scarborough),"June 13, 2022"
Can-In Multicultural Association,https://www.centralwesthealthline.ca/displayService.aspx?id=110664,NA,"c/o Dr Bhushan Sood 5223 Astwell Ave N Mississauga, ON L5R 3H8",doctorsood@hotmail.com,NA,Multicultural association * provides help to new immigrants with learning a new language * settling into new culture * promotes art and culture (organizes programs and stage shows) * counsels and guides students and parents regarding their educational needs. * Healing body-mind-soul through Metaphysical Hypnosis Practice *Hypnodontics * Grief counselling,Membership - $20/yr/person; $300 life membership,NA,English * Hindi * Punjabi,Peel Region,"February 5, 2019"
Catholic Crosscultural Services (CCS) - Brampton Office,https://www.centralwesthealthline.ca/displayService.aspx?id=153092,http://www.cathcrosscultural.org/,"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",NA,905-457-7740,"Provides information and orientation services to immigrants and refugees * connects clients to basic services in the community including all levels of government * offers counselling and support to families through case management, support groups, crisis intervention, etc Services include: individual assessment of the newcomerâs settlement needs and development of a detailed settlement plan workshops to help newcomers develop an understanding of life in Canada making connections with available community services in the areas of health, housing, education, childcare, employment, finance, immigration, post-secondary education, language learning and legal supports help with understanding and completing government forms and applications connection with community and volunteer opportunities ongoing support to meet settlement and integration needs of newcomers and their families Programs: Employment Access Program- provides newcomers with an understanding of the Canadian job market, job search preparation and learning new strategies to find jobs in Canada Support Services for Women- confidential counselling services to assist newcomer women and their children who have, or are, experiencing domestic abuse Language Instruction For Newcomers To Canada (LINC)- provides English classes and related services to assist youth, adult and senior newcomers to settle and adapt in Canada * assessment test required * free child-minding for students Refugee Sponsorship Training Program(RSTP)- The RSTP is a program designed to support the Sponsorship Agreement Holders (SAHs) of Canada, their Constituent Groups, Groups of Five and Community Sponsors interested in sponsoring refugees Mental Health Program- offers cultural and language specific counselling Income Tax Clinic- by appointment only - March and April every year Volunteer Opportunities",None,Immigrants and residents of Peel,English * Arabic * Dari * Hindi * Khasi * Portuguese * Punjabi * Sinhalese * Spanish * Tamil * Urdu,Peel Region,"September 7, 2022"
Catholic Crosscultural Services (CCS) - Brampton Office - Employment Access Program,https://www.centralwesthealthline.ca/displayService.aspx?id=168545,http://www.cathcrosscultural.org/employment-support/,"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",NA,905-457-7740,"Provides newcomers with an understanding of the Canadian job market, job search preparation and learning new strategies to find jobs in Canada. Services include: Workshops on job search, labour market information and Canadian workplace culture Resume, cover letter and interview preparation Career related information sessions and opportunities to network with employers Individual career coaching and assistance to develop a personalized employment plan Referrals and information on how to practice professions and trades",None,"Open to landed immigrants, convention refugees, and live-in-caregivers",English * Arabic * Darai * Hindi * Portuguese * Punjabi * Sinhalese * Spanish * Tamil * Urdu,Peel Region,"September 16, 2022"
Catholic Crosscultural Services (CCS) - Brampton Office - Newcomer LGBTQ+,https://www.centralwesthealthline.ca/displayService.aspx?id=187368,http://www.cathcrosscultural.org/newcomer-lgbtq/,"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",NA,905-457-7740,The hybrid LGBTQ+ online program provides newcomer individuals in LGBTQ+ community and those who are questioning their sexual identity a safe place to discuss LGBTQ+ topics and discuss their concerns and questions as well as be connected to resources and services that can support them,None,Immigrants and residents of Peel,English * Arabic * Darai * Khasi * Hindi * Portuguese * Punjabi * Sinhalese * Spanish * Tamil * Urdu,Peel Region,"September 16, 2022"
Catholic Crosscultural Services (CCS) - Brampton Office - Refugee Sponsorship Training Program (RSTP),https://www.centralwesthealthline.ca/displayService.aspx?id=185300,http://cathcrosscultural.org/refugee-sponsorship-training/,"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",NA,905-457-7740,"The RSTP is a program designed to support the Sponsorship Agreement Holders (SAHs) of Canada, their Constituent Groups, Groups of Five and Community Sponsors interested in sponsoring refugees. The program provides: resources and services to meet ongoing information and training needs of private sponsors including Sponsorship Agreement Holders, their Constituent Groups, Groups of Five and Community Sponsors. This includes information about the refugee sponsorship process, how to complete government forms, the international refugee situation and other information needed to sponsor, welcome and settle refugees information is offered through webinars, e-training, workshops and conferences as well as through video and print materials and responses to individual queries Contact 416-290-1700 / Toll-free: 1-877-290-1701 for details",None,Immigrants and residents of Peel,English * French * Arabic * Darai * Hindi * Portuguese * Punjabi * Sinhalese * Spanish * Tamil * Urdu,Peel Region,"September 20, 2022"
Catholic Crosscultural Services (CCS) - Brampton Office - Settlement Services,https://www.centralwesthealthline.ca/displayService.aspx?id=168575,http://www.cathcrosscultural.org/settlement-services/,"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",NA,905-457-7740,"Assist newcomers of all ages to adjust and integrate into Canadian society and connect with helpful community-facing resources Services include: Individual assessment of the newcomerâs settlement needs and development of a detailed settlement plan Information sessions to help newcomers develop an understanding of life in Canada, Canadian culture and traditions, and their rights Accessible community services in the areas of health, housing, education, childcare, employment, finance, immigration, language learning and legal supports Help with understanding and completing government forms and applications Connections to volunteer opportunities Assistance in preparing for the Canadian citizenship test Support with issues in relation to ongoing settlement and integration needs of newcomers and their families",None,"Permanent residents, convention refugee, live-in-caregiver, approved in principle",English * Arabic * Darai * Gujarati * Hindi * Pashto * Persian * Portuguese * Punjabi * Sinhalese * Spanish * Tamil * Urdu * Uzbek,Peel Region,"September 16, 2022"
Catholic Crosscultural Services (CCS) - Brampton Office - Women's Support Services,https://www.centralwesthealthline.ca/displayService.aspx?id=168560,http://www.cathcrosscultural.org/womens-support-services/,"164 Queen St E, Suite 306 Brampton, ON L6V 1B4",NA,905-457-7740,"Provides supportive counselling to newcomer women and their children who have or are experiencing domestic violence * individual and group counselling services offered Short-term, goal-focused counselling including the development of transition, safety strategies, and information on rights and options Crisis and support counselling to help individuals seeking immediate assistance Linking women to appropriate services in the community that address legal, housing, financial and long-term counselling needs The Transitional Housing Support Worker provides support services for newcomer women who are receiving Womenâs Support Services to assist them in accessing community supports that will help them find and maintain housing",None,"Women, new immigrants and residents of Peel, who have or are experiencing domestic violence",English * Arabic * Hindi * Polish * Spanish * Urdu,Peel Region,"September 16, 2022"
Catholic Crosscultural Services - Mississauga Office,https://www.centralwesthealthline.ca/displayService.aspx?id=110663,http://cathcrosscultural.org/,"3660 Hurontario Street SW, 7th Floor Mississauga, ON L5B 3C4",NA,905-273-4140,"Settlement Services Provides information and orientation services to immigrants and refugees * connects clients to basic services in the community including all levels of government * offers counselling and support to families through case management, support groups, crisis intervention, etc Services available also include: *Individual assessment of the newcomerâs settlement needs and development of a detailed settlement plan *Workshops to help newcomers develop an understanding of life in Canada *Making connections with available community services in the areas of health, housing, education, childcare, employment, finance, immigration, post-secondary education, language learning and legal supports. *Help with understanding and completing government forms and applications *Connection with community and volunteer opportunities *Ongoing support to meet settlement and integration needs of newcomers and their families Refugee Sponsorship Training Program - The RSTP is a program designed to support the Sponsorship Agreement Holders (SAHs) of Canada, their Constituent Groups, Groups of Five and Community Sponsors interested in sponsoring refugees Supportive Services for Women - provides supportive counselling to newcomer women who are experiencing domestic violence * services are linguistically and culturally sensitive for the clients * provides individual crisis intervention counselling with no waiting list * support groups for recently separated/divorced women workshops on self-esteem, anger management, assertiveness, job-search, stress management, health alternatives, parenting and more * networking for isolated women through groups *helps victims of violence to identify and examine their options in order to survive and work through their crisis * accompanies victims to hospitals, police stations or to court and advocates on their behalf when necessary *refers client to other agencies or professionals when appropriate Transitional Housing Support Program - assists women who are facing violence to access all the supports and services they require to keep themselves and their children safe. THSP Advocates maintain contact with women to assist them with any housing/landlord-tenant issues that may arise. The program service is free to survivors of woman abuse within the Peel Region Language Instruction For Newcomers To Canada (LINC) - provides English classes and related services to assist youth, adult and senior newcomers to settle and adapt in Canada * assessment test required * free childminding for students Our Mental Health Program - offers cultural and language specific counselling to newcomer individuals, couples and families. Through individual counselling and educational workshops, newcomers will receive the support and tools needed to manage the challenges of stress, anxiety, depression, substance abuse, parenting, family conflict, trauma and other life transitions. Services are currently available in Hindi, Arabic and English. English Conversation group - gives newcomers opportunity to practice spoken English every Tue from 6pm-7:30 pm. Service Canada Clinic - helps with CPP/OAS/EI once a month; by appointment only Income Tax Clinic - by appointment only; March and April every year Volunteer opportunities",None,Immigrants and residents of Peel,English * Arabic * Chinese (Mandarin) * Dari * Farsi (Persian) * Filipino * Gujurati * Hindi * Korean * Pashto * Polish * Portuguese * Punjabi * Russian * Sinhala * Spanish * Tamil * Urdu,Peel Region,"April 24, 2020"
