organization,link,org_link,address,description,fees,eligibility,languages,areas_served,last_updated
Achev - Newcomer Information Centre - Brampton East,https://www.centralwesthealthline.ca/displayService.aspx?id=159962,http://achev.ca,"263 Queen St E, Unit 14 Brampton, ON L6W 4K6","Newcome walk-in information centre funded by Immigration, Refugees and Citizenship Canada to provide free, up to date settlement information and referral for newcomers Provides information on: employment immigration and citizenship education and training credential evaluation health services housing language training legal and social services recreation finance and income tax Free Commissioner of Oaths services available by appointment",None - All services are free,NA,English * Russian * Spanish * Approximately 20 major languages,Brampton,"November 8, 2022"
Achev - Newcomer Information Centre - Brampton South,https://www.centralwesthealthline.ca/displayService.aspx?id=159961,http://achev.ca,"Community Door 7700 Hurontario St, Unit 601, Suite 100 Brampton, ON L6Y 4M3","Newcome walk-in information centres * provide up to date settlement information for smooth transition of newcomers to life in Canada * NIC centres provide information on: employment * immigration and citizenship * education and training * credential evaluation * health services * housing * language training * legal and social services * recreation * financial and income tax CLARS Language Assessment Centres, offers: English and French language assessments and referrals to classes for eligible immigrants seeking language training in Peel, Halton, Dufferin, York, Simcoe and Durham",None - All services are free,"Available to permanent residents, convention refugees and prospective immigrants",English * Hindi * Pashto * Punjabi,Halton Region and Peel Region,"November 8, 2022"
Afghan Association of Ontario,https://www.centralwesthealthline.ca/displayService.aspx?id=132334,http://www.aaocanada.ca,130 Bridgeland Ave Unit 202 Toronto M6A 1Z4,"Community and social services COVID-19-- Contact organization for information Afghan Women's Support Program-- provides short-term counselling to clients who encounter difficulties in adjusting to life in Canada and assistance in overcoming these challenges Community Services needs assessment and information and referral to community and social services support with finding housing, child care, registering children in school and health care help filling out government forms including housing and immigration sponsorship forms Translation and Interpretation Services professionally trained interpreters with expertise in health, community and social services translation and revision immediate over the phone interpretation Seniors Program counselling and referral seniors helping seniors Volunteer and TV Broadcasting Program Assistance-- television broadcasts Friday nights and Saturdays Youth Empowerment Program monthly discussion group on issues such as employment, school problems community collaboration with police and others information about school choices, postsecondary education, employment mentorship program",Vary - contact organization for information,"Citizens, landed immigrants, Convention refugees, and those intending to apply for landed status",English * Dari * Hindi * Pashto * Urdu,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","March 9, 2022"
Afghan Women's Organization,https://www.centralwesthealthline.ca/displayService.aspx?id=110670,http://afghanwomen.org/,"3050 Unit 302 Confederation Pkwy N, Mezzanine 1 Mississauga, ON L5B 3Z6","Afghan women's group * offers LINC (Language Instructor to Newcomers to Canada) classes for women (Literacy to Level 5) * settlement services (ISAP) * literacy classes for women * Heritage Language Classes (Dari) * Afghan Senior's Group * youth and family workers * child minding services available to program participants * day or evening classes Immigrant Settlement and Adaptation Program -- needs assessment information and referral advocacy orientation sponsorship of refugees translation and interpretation escort assistance in finding housing health workshops heritage language classes skills training and upgrading seniors program for mutual support and education youth program offering services in settlement, counselling, skills development and social events Homework Club with individual assistance and group work citizenship test preparation classes Community Connections Mentorship Program-- group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks Trained and experienced volunteer mentors assist with focus on citizenship and civic engagement or skills and career development",None,"Newcomers with a focus on women, their families, refugees and people who have experienced war or persecution",English * Arabic * Dari * Farsi (Persian) * Hindi * Pashto * Urdu,Peel Region,"May 16, 2019"
Afghan Women's Organization - AWO North York,https://www.centralwesthealthline.ca/displayService.aspx?id=133305,http://afghanwomen.org,"747 Don Mills Rd, Unit 200 Toronto, ON M3C 1T2","Settlement services for all newcomers, with a special focus on women, their families, refugees and people who have experienced war and persecution COVID19-- Food Bank Mon-Fri 11 am-4 pm, home delivery for seniors, text or call 416-388-8323 to book an appointment, limited variety and quantities Settlement services for immigrants and refugees needs assessment, information and referral, advocacy, orientation, translation and interpretation, escort, assistance in finding housing sponsorship of refugees health workshops, mental health -- support groups, counselling, crisis intervention heritage language classes skills upgrading, adult literacy classes seniors program for mutual support and education youth program offering services in settlement, counselling, skills development and social events Homework Club with individual assistance and group work citizenship test preparation classes English as a Second Language / LINC -- participates in LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto -- see separate entry day or evening classes Community Connections Mentorship Program group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development Financial Literacy Project -- one month certificate course individual counselling and orientation sessions Family Support and mental health services -- parenting sessions mental health -- support groups, counselling, crisis intervention Women's Circle Make the First Move -- yoga and zumba fitness classes for women Community development Afghan Women's Catering Group, Afghan Sewing Circle, media and overseas projects Childminding available for clients attending sessions",None,"Newcomers with a focus on women, their families, refugees and people who have experienced war or persecution",English * Dari * Farsi * Pashto * Uzbek,Toronto,"June 23, 2022"
Afghan Women's Organization - AWO North York Head Office,https://www.centralwesthealthline.ca/displayService.aspx?id=133303,http://afghanwomen.org,"150 Consumers Rd Suite 203 Toronto, ON M2J 1P9","Settlement services for all newcomers, with a special focus on women, their families, refugees and people who have experienced war and persecution COVID19-- settlement workers available by phone or online, to connect with a settlement worker in North York, Toronto, or Scarborough leave a message at 416-588-3585, or to connect with a settlement worker in Mississauga leave a message at 905-279-3679 ------------ Settlement Services for Immigrants and Refugees needs assessment, information and referral, advocacy, orientation, translation and interpretation, escort, assistance in finding housing sponsorship of refugees health workshops, mental health -- support groups, counselling, crisis intervention heritage language classes skills upgrading, adult literacy classes seniors program for mutual support and education youth program offering services in settlement, counselling, skills development and social events Employment Related Services- for new immigrants and Convention refugees, legally entitled to work in Canada 3 or 4 day job search techniques workshops, covering labour market information, access to trades and professions, resume preparation, networking extensive individual assistance Community Connections Mentorship Program group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development Childminding available for clients attending sessions Community Development Afghan Women's Catering Group, Afghan Sewing Circle, media and overseas projects",None,"Open to all with a focus on newcomers, particularly women, their families, refugees and people who have experienced war or persecution Also, the Afghan community",English * Arabic * Dari * Farsi * Pashto * Uzbek,Toronto,"June 23, 2022"
Afghan Women's Organization - AWO Scarborough,https://www.centralwesthealthline.ca/displayService.aspx?id=133304,http://afghanwomen.org,"2555 Eglinton Ave E Suite 211 Toronto, ON M1K 5J1","Settlement services for all newcomers, with a special focus on women, their families, refugees and people who have experienced war and persecution COVID19-- settlement workers available by phone or online, to connect with a settlement worker in North York, Toronto, or Scarborough; leave a message at 416-588-3585, or to connect with a settlement worker in Mississauga leave a message at 905-279-3679 Settlement Services for Immigrants and Refugees needs assessment, information and referral, advocacy, orientation, translation and interpretation, escort, assistance in finding housing sponsorship of refugees health workshops, mental health -- support groups, counselling, crisis intervention heritage language classes skills upgrading, adult literacy classes seniors program for mutual support and education youth program offering services in settlement, counselling, skills development and social events Homework Club with individual assistance and group work citizenship test preparation classes English as a Second Language / LINC -- participates in LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of Greater Toronto -- see separate entry day or evening, full-time and part-time classes Community Connections Mentorship Program group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development Financial Literacy Project -- one month certificate course individual counselling and orientation sessions Family Support and Mental Health Services -- Parenting Sessions mental health -- support groups, counselling, crisis intervention Women's Circle Community Development Afghan Women's Catering Group, Afghan Sewing Circle, media and overseas projects Childminding available for clients attending sessions Food Security Program food package distribution to seniors, families on Wednesdays 11 am-3 pm",None,"Newcomers with a focus on women, their families, refugees and people who have experienced war or persecution",English * Dari * Pashto * Urdu * Uzbek,Toronto,"June 23, 2022"
African Community Services of Peel (ACS),https://www.centralwesthealthline.ca/displayService.aspx?id=159957,http://www.africancommunityservices.com,"10 Gillingham Dr, Unit 308 Brampton, ON L6X 5A5",Community based organization providing settlement and integration services and programs to facilitate early settlement of newcomers to Peel and the surrounding areas Services: newcomer settlement program youth engagement and leadership development violence and abuse prevention seniors support services mental health awareness and promotion community wellness and development programs employment support services community engagement programs volunteer training and development,None,Open to all newcomers,English * Arabic * Fanti * Ga * Somali * Swahili * Twi,Peel Region,"August 10, 2022"
African Community Services of Peel (ACS) - Community Wellness and Development Program,https://www.centralwesthealthline.ca/displayService.aspx?id=170810,http://www.africancommunityservices.com,"10 Gillingham Dr, Unit 308 Brampton, ON L6X 5A5",The program provides a suite of programs and services aimed at promoting the general wellbeing of members of the black community in Peel. The objectives of the Community Wellness and Development Program are to: Promote the health and wellness of members of the African/Black community through identified programs and services Enhance access to community resources and information Promote mental health awareness in the black community and improve access to mental health resources Reduce the incidence of domestic violence and abuse in the black/African Community Promote engagement and participation in community development activities Enhance labor market participation opportunities for members of the black community Practical support and encouragement,None,Open to all newcomers,English * Arabic * Fanti * Ga * Somali * Swahili * Twi,Peel Region,"August 10, 2022"
African Community Services of Peel (ACS) - Newcomer Settlement,https://www.centralwesthealthline.ca/displayService.aspx?id=170809,http://www.africancommunityservices.com,"10 Gillingham Dr, Unit 308 Brampton, ON L6X 5A5","The newcomer settlement program helps to facilitate the early integration of newcomers into Canadian society, by enhancing access to and support services that aid in the transition to self-reliance and financial independence. Provide Comprehensive and culturally appropriate settlement services that include client needs assessment, orientation, information and referral, interpretation and translation, housing assistance, and employment support. Identity needs specific to each newcomer in order to determine how best those needs could be met with existing community resources Provide newcomers with relevant, culturally, and linguistically appropriate information and services that facilitate settlement. Provide referrals to community resources. Organize workshops/group sessions on a variety of settlement issues like health, legal, transportation, education and skills building.",None,"Open to all newcomers - families, adults, youth and seniors from diverse ethno-specific communities mainly from newcomers of African descent as well as those from other regions",English * Arabic * Fanti * Somali * Swahili * Twi,Peel Region,"August 9, 2022"
African Community Services of Peel (ACS) - Youth Programs - Youth Leadership Development Programs,https://www.centralwesthealthline.ca/displayService.aspx?id=170817,http://www.africancommunityservices.com,"10 Gillingham Dr, Unit 308 Brampton, ON L6X 5A5","Provide youth with information and services that promote positive growth, development and decision making * builds leadership skills in youth to enhance their personal and professional development and",None,Open to all visible minority youth between the ages of 13 to 24 years Older youth are accommodated based on program and issue/need Youth facing immigration and settlement challenges Immigrant and Refugee Youth In and out of school youth All youth interested in participating in our programs,English * Arabic * Fanti * Ga * Somali * Swahili * Twi,Peel Region,"August 10, 2022"
Agincourt Community Services Association - Dorset Park Community Hub,https://www.centralwesthealthline.ca/displayService.aspx?id=143166,http://www.agincourtcommunityservices.com/,"1911 Kennedy Rd Unit 105 Toronto, ON M1P 2L9","Multiservice centre Community Food Centre--shopping model food bank on site Food Bank-- member of Daily Bread Food Bank Dorset Park Hub - Multiservice neighbourhood centre centre community engagement projects seniors yoga women's English Circle financial literacy workshops public computer access Newcomer Centre information and referral to community and social services support with finding housing, child care, registering children in school and health care help filling out government forms including housing and immigration sponsorship forms help with connecting to language classes workshops on financial literacy and other topics to reduce stress of adjusting to Canadian culture Citizenship Preparation-- offers courses, tests and activities to help newcomers prepare for the citizenship test Language Instruction for Newcomers to Canada-- provides basic language skills in English upon assessment by YMCA of Greater Toronto -- see separate entry, online learning option Mentorship and Skills Building offers permanent residents and convention refugees resume and job readiness help, employment counselling skills and career development in specific fields including food service, customer service, cashier training to help newcomers get entry level jobs Lead agency for Dorset Park Hub other services provided by partner agencies including, Reconnect Community Health Service, John Howard Society of Toronto, VHA Home HealthCare, Chinese Canadian Council, Madison Community Services, Black Youth Jobs and Dorset Park Neighbourhood Association",NA,"Newcomer Services -- permanent residents or convention refugees Language Instruction for Newcomers to Canada (LINC)-- permanent residents, convention refugees, government-sponsored refugees or others eligible",English * Arabic * Cantonese * Mandarin * Spanish * Tamil,Toronto (Scarborough),"June 13, 2022"
Albion Neighbourhood Services - Albion Access Services,https://www.centralwesthealthline.ca/displayService.aspx?id=60755,http://www.albionneighbourhoodservices.ca,"The Albion Mall 1530 Albion Rd, Suite 205 Etobicoke, ON M9V 1B4","Provides Information and Referral, support, crisis intervention and advocacy for clients Offers immigration settlement services voice mail service certification of documents affidavits Commissioner of Oaths income tax services information and referrals interpretation and translation document replacement services assistance with pensions assistance with Ontario Works/ ODSP, CPP filling out various government forms Latin American Housing -Settlement Worker",Program - Fees for some programs * Minimum fee for some applications,Call to verify eligibility for specific programs. Some programs available to Peel residents,English * Hindi * Italian * Punjabi * Spanish * Urdu,Toronto (Etobicoke),"April 19, 2022"
Armenian Family Support Services,https://www.centralwesthealthline.ca/displayService.aspx?id=143499,http://www.afsstoronto.org,"Holy Trinity Armenian Church, 920 Progress Ave Toronto, ON M1G 3T5","Settlement services for immigrants and refugees COVID19-- contact organization for current COVID policies Settlement services for immigrants and refugees individual, family and youth counselling information and referral, housing search assistance assistance with government forms, translation and intrepretation refugee settlement information and assistance youth outreach, volunteer opportunities employment consulting, assistance with resumes and interview skills, employment mentoring, employment workshops",None,Open to all,English * Armenian * Farsi,"Toronto, Halton Region, Peel Region, Durham, and York Census Division","September 28, 2022"
