Name,"Coordinates (lat, long)",Address,In Peel,Website,Email,Phone,Citizen test preparation,Help with daily life,Refugee services,Job language training,Job search support,LGBT services,Language assessment,Language training,Other services,Senior services,Women services,Youth services
Acces Employment,"(43.57053, -79.601748)","2085 Hurontario Street, Suite 210",yes,http://www.accesemployment.ca/,NA,905-361-2522,no,yes,no,yes,yes,no,no,no,no,no,no,yes
Acces Employment,"(43.715778, -79.726089)","44 Peel Centre Drive, Suite 201",yes,http://www.accesemployment.ca/,NA,905-454-2316,no,yes,no,no,yes,no,no,no,no,no,no,yes
Achēv,"(43.700951, -79.743194)","263 Queen Street East, Unit 14",yes,http://www.achev.ca,info@achev.ca,905-595-0722,no,yes,no,no,yes,no,yes,no,no,no,no,no
Achēv,"(43.59192, -79.635727)","50 Burnhamthorpe Road West, Suite 300",yes,http://www.achev.ca,info@achev.ca,905-949-0049,no,yes,no,no,yes,no,yes,no,yes,no,no,no
Achēv,"(43.711649, -79.65409)","7420 Airport Road, Suite 104",yes,http://www.achev.ca,info@achev.ca,905-677-0007,no,yes,no,no,yes,no,yes,no,yes,no,no,no
Afghan Women's Organization,"(43.577793, -79.621323)","3050 Confederation Parkway, Unit 302",yes,NA,NA,905-279-3679,no,yes,no,no,no,no,no,yes,yes,no,yes,yes
Big Brothers Big Sisters of Peel,"(43.704242, -79.725604)","71 West Drive, Unit 23",yes,https://peel.bigbrothersbigsisters.ca/,NA,905-457-7288,no,no,no,no,no,no,no,no,no,no,no,yes
Brampton Multicultural Community Centre,"(43.661662, -79.721338)","197 County Court Boulevard, Suite 303",yes,http://www.bmccentre.org/,NA,905-790-8482,no,yes,no,no,yes,no,no,no,no,yes,yes,yes
Brampton Multicultural Community Centre,"(43.529714, -79.717437)","4120 Ridgeway Drive, Unit 43",yes,http://www.bmccentre.com/,NA,905-790-8482,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes
Brampton Multicultural Community Centre,"(43.7196, -79.6854)","Civic Centre, 150 Central Park Drive, Suite 107",yes,http://www.bmccentre.org/,NA,905-790-8482,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes
Caledon Community Services,"(43.879972, -79.737505)",18 King Street East,yes,https://ccs4u.org/,engage@ccs4u.org,905-584-9460,no,yes,no,no,no,no,no,yes,yes,no,no,no
Catholic Community Services of York Region,"(43.887476, -79.330949)","Angus Glen Library, 3990 Major Mackenzie Drive East",yes,http://www.welcomecentre.ca,info@welcomecentre.ca,1-877-761-1155,no,no,no,no,yes,no,no,no,no,no,no,no
Catholic Crosscultural Services,"(43.593892, -79.629426)",1477 Mississauga Valley Blvd,yes,http://www.cathcrosscultural.org/,NA,905-232-7010,no,yes,no,no,yes,no,no,yes,no,no,no,no
Catholic Crosscultural Services,"(43.692549, -79.753222)",164 Queen Street East,yes,http://www.cathcrosscultural.org/,NA,905-457-7740,no,yes,no,no,yes,no,no,yes,no,no,yes,no
